,GEOID,NAME,variable,value
1,1,Alabama,P013I001,41.4
2,2,Alaska,P013I001,38.4
3,4,Arizona,P013I001,44.5
4,5,Arkansas,P013I001,41.1
5,6,California,P013I001,44.6
6,22,Louisiana,P013I001,40
7,21,Kentucky,P013I001,39.7
8,8,Colorado,P013I001,40.3
9,9,Connecticut,P013I001,44.6
10,10,Delaware,P013I001,44.1
11,11,District of Columbia,P013I001,32.3
12,12,Florida,P013I001,47.4
13,13,Georgia,P013I001,40.3
14,15,Hawaii,P013I001,44.3
15,16,Idaho,P013I001,37.3
16,17,Illinois,P013I001,41.5
17,18,Indiana,P013I001,39.6
18,19,Iowa,P013I001,40.6
19,20,Kansas,P013I001,39.9
20,23,Maine,P013I001,43.7
21,24,Maryland,P013I001,43
22,25,Massachusetts,P013I001,42.7
23,26,Michigan,P013I001,41.7
24,27,Minnesota,P013I001,40.8
25,28,Mississippi,P013I001,40.7
26,29,Missouri,P013I001,40.2
27,30,Montana,P013I001,42.1
28,31,Nebraska,P013I001,39.8
29,32,Nevada,P013I001,43.7
30,33,New Hampshire,P013I001,42.4
31,34,New Jersey,P013I001,44.2
32,35,New Mexico,P013I001,47.6
33,36,New York,P013I001,42.4
34,37,North Carolina,P013I001,41.6
35,38,North Dakota,P013I001,39.5
36,39,Ohio,P013I001,40.9
37,40,Oklahoma,P013I001,41.5
38,41,Oregon,P013I001,42.4
39,42,Pennsylvania,P013I001,43.1
40,44,Rhode Island,P013I001,43.8
41,45,South Carolina,P013I001,41.7
42,46,South Dakota,P013I001,40.3
43,47,Tennessee,P013I001,41
44,48,Texas,P013I001,41.3
45,49,Utah,P013I001,30.6
46,50,Vermont,P013I001,42.5
47,51,Virginia,P013I001,41.1
48,53,Washington,P013I001,41.6
49,54,West Virginia,P013I001,42.1
50,55,Wisconsin,P013I001,41.7
51,56,Wyoming,P013I001,39.2
52,72,Puerto Rico,P013I001,41.5
